FLYBASE,SYMBOL,GENENAME,chromosome_name,start_position,end_position,ensembl_transcript_id,flybase_transcript_id,transcript_start,transcript_end,transcription_start_site,transcript_length,transcript_count
FBgn0000115,Arl1,ADP ribosylation factor-like 1,3L,15983135,15984362,FBtr0075517,FBtr0075517,15983135,15984362,15983135,863,3
FBgn0000116,Argk,Arginine kinase,3L,9048781,9066027,FBtr0112791,FBtr0112791,9048880,9066027,9066027,1854,21
FBgn0000117,arm,armadillo,X,1891401,1900646,FBtr0089991,FBtr0089991,1891401,1900173,1900173,3120,18
FBgn0000119,arr,arrow,2R,13453640,13483229,FBtr0087702,FBtr0087702,13453640,13483229,13483229,6024,3
FBgn0000120,Arr1,Arrestin 1,2L,18078269,18081307,FBtr0340229,FBtr0340229,18078649,18080415,18078649,1356,9
FBgn0000121,Arr2,Arrestin 2,3L,8647261,8648936,FBtr0076599,FBtr0076599,8647261,8648936,8648936,1547,3
FBgn0000137,ase,asense,X,460747,463176,FBtr0070075,FBtr0070075,460747,463176,460747,2430,3
FBgn0000139,ash2,"absent, small, or homeotic discs 2",3R,24650125,24653376,FBtr0084659,FBtr0084659,24651417,24653376,24651417,1413,9
FBgn0000140,asp,abnormal spindle,3R,24753849,24760513,FBtr0084692,FBtr0084692,24753849,24760513,24753849,6338,3
FBgn0000146,aub,aubergine,2L,10997819,11001476,FBtr0080165,FBtr0080165,10997819,11001476,11001476,2825,6
FBgn0000147,aurA,aurora A,3R,11963124,11964826,FBtr0082483,FBtr0082483,11963124,11964826,11963124,1577,3
FBgn0000150,awd,abnormal wing discs,3R,31745172,31746077,FBtr0346150,FBtr0346150,31745172,31746077,31746077,727,6
FBgn0000152,Axs,Abnormal X segregation,X,16680089,16683895,FBtr0074372,FBtr0074372,16680089,16683895,16683895,2575,4
FBgn0000153,b,black,2L,13821248,13823979,FBtr0342712,FBtr0342712,13821248,13823870,13821248,2026,9
FBgn0000157,Dll,Distal-less,2R,24814822,24835667,FBtr0072379,FBtr0072379,24814822,24835667,24814822,3094,6
FBgn0000158,bam,bag of marbles,3R,25243039,25245109,FBtr0084869,FBtr0084869,25243039,25245109,25245109,1946,3
FBgn0000163,baz,bazooka,X,17160006,17200728,FBtr0074388,FBtr0074388,17160006,17200728,17160006,6762,16
FBgn0000166,bcd,bicoid,3R,6755842,6759466,FBtr0081666,FBtr0081666,6755842,6759466,6759466,2536,15
FBgn0000173,ben,bendless,X,13996345,13999805,FBtr0332843,FBtr0332843,13996657,13999805,13996657,1852,20
FBgn0000179,bi,bifid,X,4412856,4485647,FBtr0343569,FBtr0343569,4413462,4485647,4413462,5613,28
FBgn0000180,bib,big brain,2L,9984645,9995538,FBtr0079929,FBtr0079929,9984645,9995538,9984645,3276,6
FBgn0000181,bic,bicaudal,2R,12870249,12871794,FBtr0087783,FBtr0087783,12870249,12871240,12870249,992,6
FBgn0000182,BicC,Bicaudal C,2L,16042047,16048757,FBtr0080803,FBtr0080803,16042047,16048626,16042047,4022,9
FBgn0000183,BicD,Bicaudal D,2L,17459605,17473215,FBtr0081002,FBtr0081002,17460817,17473215,17473215,4149,12
FBgn0000206,boss,bride of sevenless,3R,25961994,25966948,FBtr0084949,FBtr0084949,25961994,25966948,25961994,3013,3
FBgn0000212,brm,brahma,3L,15970082,15982869,FBtr0333580,FBtr0333580,15970082,15982869,15982869,5351,18
FBgn0000216,Brd,Bearded,3L,14972667,14973198,FBtr0075621,FBtr0075621,14972667,14973198,14972667,532,3
FBgn0000221,brn,brainiac,X,4104342,4105791,FBtr0070638,FBtr0070638,4104342,4105791,4104342,1450,4
FBgn0000227,Bsg25A,Blastoderm-specific gene 25A,2L,4683052,4684461,FBtr0077423,FBtr0077423,4683052,4684461,4684461,1352,3
FBgn0000228,Bsg25D,Blastoderm-specific gene 25D,2L,5271728,5278548,FBtr0310625,FBtr0310625,5271728,5278548,5278548,4666,21
FBgn0000229,bsk,basket,2L,10247502,10250501,FBtr0300982,FBtr0300982,10247502,10249600,10249600,1655,9
FBgn0000233,btd,buttonhead,X,9694186,9697558,FBtr0071379,FBtr0071379,9694186,9697558,9694186,2934,4
FBgn0000239,bur,burgundy,2L,21174182,21179683,FBtr0343875,FBtr0343875,21174182,21179683,21179683,3116,6
FBgn0000241,bw,brown,2R,23527805,23538499,FBtr0072117,FBtr0072117,23527805,23538499,23538499,2738,6
FBgn0000244,by,blistery,3R,9528238,9533011,FBtr0301093,FBtr0301093,9528238,9533011,9533011,4774,9
FBgn0000246,c(3)G,crossover suppressor on 3 of Gowen,3R,15789473,15792579,FBtr0083195,FBtr0083195,15789496,15792579,15792579,2594,9
FBgn0000247,ca,claret,3R,29806811,29815047,FBtr0346613,FBtr0346613,29807238,29814846,29807238,6398,6
FBgn0000250,cact,cactus,2L,16313036,16326207,FBtr0337081,FBtr0337081,16313097,16326207,16326207,1999,15
FBgn0000251,cad,caudal,2L,20770731,20783135,FBtr0081412,FBtr0081412,20770731,20783135,20770731,2516,9
FBgn0000253,Cam,Calmodulin,2R,12259398,12278809,FBtr0345018,FBtr0345018,12260032,12274625,12260032,1435,15
FBgn0000256,capu,cappuccino,2L,3872646,3902860,FBtr0290080,FBtr0290080,3872660,3890031,3890031,3713,27
FBgn0000257,car,carnation,X,19566019,19569401,FBtr0331158,FBtr0331158,19566019,19569401,19566019,3173,12
FBgn0000259,CkIIbeta,Casein kinase II beta subunit,X,11792533,11801587,FBtr0299569,FBtr0299569,11792879,11795887,11792879,997,40
FBgn0000261,Cat,Catalase,3L,18822604,18828188,FBtr0075058,FBtr0075058,18822604,18828188,18822604,1993,3
FBgn0000273,Pka-C1,"Protein kinase, cAMP-dependent, catalytic subunit 1",2L,9682315,9699297,FBtr0335495,FBtr0335495,9683362,9699297,9699297,4480,9
FBgn0000274,Pka-C2,"Protein kinase, cAMP-dependent, catalytic subunit 2",3R,30695537,30697138,FBtr0085727,FBtr0085727,30695537,30697138,30697138,1349,4
FBgn0000276,CecA1,Cecropin A1,3R,30210874,30211273,FBtr0085612,FBtr0085612,30210874,30211273,30210874,339,3
FBgn0000277,CecA2,Cecropin A2,3R,30212156,30212568,FBtr0085614,FBtr0085614,30212156,30212568,30212156,355,3
FBgn0000278,CecB,Cecropin B,3R,30213315,30213797,FBtr0085640,FBtr0085640,30213315,30213797,30213797,425,3
FBgn0000279,CecC,Cecropin C,3R,30216484,30216938,FBtr0085616,FBtr0085616,30216484,30216938,30216484,386,3
FBgn0000280,Cec-Psi1,Cecropin pseudogene 1,3R,30211527,30211753,FBtr0085613,FBtr0085613,30211527,30211753,30211527,166,3
FBgn0000281,Cec2,Cecropin 2,3R,30212903,30213142,FBtr0089614,FBtr0089614,30212903,30213142,30212903,201,3
FBgn0000283,Cp190,Centrosomal protein 190kD,3R,15270432,15275241,FBtr0083127,FBtr0083127,15270432,15274790,15274790,4176,6
FBgn0000286,Cf2,Chorion factor 2,2L,4876891,4883107,FBtr0089649,FBtr0089649,4877110,4883107,4883107,3763,18
FBgn0000287,salr,spalt-related,2L,11358873,11373636,FBtr0080235,FBtr0080235,11365289,11373397,11365289,4142,9
FBgn0000289,cg,combgap,2R,14173693,14182838,FBtr0339960,FBtr0339960,14173693,14180228,14173693,3040,33
FBgn0000299,Col4a1,Collagen type IV alpha 1,2L,5029609,5037279,FBtr0079002,FBtr0079002,5029609,5037279,5029609,6101,9
FBgn0000303,ChAT,Choline acetyltransferase,3R,18705501,18732344,FBtr0089368,FBtr0089368,18705501,18731178,18705501,2824,6
FBgn0000307,chif,chiffon,2L,16342430,16352628,FBtr0475053,FBtr0475053,16343600,16352628,16352628,6575,12
FBgn0000308,chic,chickadee,2L,5972115,5981018,FBtr0309213,FBtr0309213,5973007,5980101,5980101,1275,18
FBgn0000316,cin,cinnamon,X,255674,258469,FBtr0070065,FBtr0070065,255674,258469,255674,2110,6
FBgn0000317,ck,crinkled,2L,15044963,15057862,FBtr0343686,FBtr0343686,15045117,15057862,15057862,7087,12
FBgn0000318,cl,clot,2L,5520135,5521382,FBtr0329967,FBtr0329967,5520135,5521382,5520135,689,9
FBgn0000319,Chc,Clathrin heavy chain,X,15827986,15835490,FBtr0339445,FBtr0339445,15827986,15835490,15835490,5788,28
FBgn0000320,eya,eyes absent,2L,6527447,6546976,FBtr0079334,FBtr0079334,6527447,6546976,6546976,3320,9
FBgn0000326,clt,cricklet,2R,21617061,21619079,FBtr0071687,FBtr0071687,21617061,21619079,21619079,1844,3
FBgn0000330,cm,carmine,X,7009006,7011145,FBtr0071033,FBtr0071033,7009311,7011145,7011145,1469,8
FBgn0000337,cn,cinnabar,2R,7782797,7785067,FBtr0344723,FBtr0344723,7782797,7785067,7785067,1790,3
FBgn0000339,cni,cornichon,2L,16309292,16310726,FBtr0080849,FBtr0080849,16309596,16310726,16310726,878,9
FBgn0000346,comt,comatose,X,13259021,13262488,FBtr0333329,FBtr0333329,13259021,13262488,13259021,3024,8
FBgn0000351,cort,cortex,2L,6674682,6676635,FBtr0079320,FBtr0079320,6674682,6676635,6676635,1655,6
FBgn0000352,cos,costa,2R,7382176,7387115,FBtr0089015,FBtr0089015,7382176,7387115,7387115,4763,6
FBgn0000355,Cp15,Chorion protein 15,3L,8728481,8729066,FBtr0076572,FBtr0076572,8728481,8729066,8728481,515,3
FBgn0000356,Cp16,Chorion protein 16,3L,8731944,8732599,FBtr0076574,FBtr0076574,8731944,8732599,8731944,522,3
FBgn0000357,Cp18,Chorion protein 18,3L,8726791,8727613,FBtr0076571,FBtr0076571,8726791,8727613,8726791,649,3
FBgn0000358,Cp19,Chorion protein 19,3L,8729865,8730604,FBtr0076573,FBtr0076573,8729865,8730604,8729865,651,3
FBgn0000359,Cp36,Chorion protein 36,X,8479319,8480523,FBtr0071203,FBtr0071203,8479319,8480523,8479319,1116,4
FBgn0000360,Cp38,Chorion protein 38,X,8481837,8483311,FBtr0071204,FBtr0071204,8481837,8483174,8481837,1112,8
FBgn0000370,crc,cryptocephal,2L,21310866,21319527,FBtr0332002,FBtr0332002,21310866,21319527,21310866,1878,12
FBgn0000376,crm,cramped,X,2734248,2738773,FBtr0070495,FBtr0070495,2734248,2738773,2738773,3837,8
FBgn0000377,crn,crooked neck,X,2247594,2249983,FBtr0070418,FBtr0070418,2247594,2249983,2249983,2332,3
FBgn0000382,csw,corkscrew,X,2094234,2115701,FBtr0070380,FBtr0070380,2108249,2113664,2108249,4106,12
FBgn0000384,cta,concertina,2L,22981816,22992951,FBtr0334157,FBtr0334157,22981816,22992951,22981816,2764,2
FBgn0000392,cup,cup,2L,6663664,6674780,FBtr0290322,FBtr0290322,6663968,6674780,6663968,4002,6
FBgn0000394,cv,crossveinless,X,5690002,5693084,FBtr0070804,FBtr0070804,5690002,5693084,5690002,1893,12
FBgn0000395,cv-2,crossveinless 2,2R,21355015,21379464,FBtr0071610,FBtr0071610,21355015,21379464,21379464,4329,3
FBgn0000404,CycA,Cyclin A,3L,11826719,11833578,FBtr0076075,FBtr0076075,11827083,11833578,11833578,2555,6
FBgn0000405,CycB,Cyclin B,2R,22803521,22806948,FBtr0309858,FBtr0309858,22803521,22806948,22806948,2627,12
FBgn0000406,Cyt-b5-r,Cytochrome b5-related,2L,16788774,16790721,FBtr0080932,FBtr0080932,16788866,16790721,16790721,1465,6
FBgn0000411,D,Dichaete,3L,14175610,14178620,FBtr0333034,FBtr0333034,14175926,14177537,14177537,1612,12
FBgn0000412,D1,D1 chromosomal protein,3R,9238083,9240654,FBtr0081988,FBtr0081988,9238083,9240267,9240267,1734,9
FBgn0000414,Dab,Disabled,3L,16712126,16724575,FBtr0330189,FBtr0330189,16713660,16724415,16713660,8301,24
FBgn0000416,Sap-r,Saposin-related,3R,30883464,30889062,FBtr0085713,FBtr0085713,30883464,30889062,30889062,3440,4
FBgn0000422,Ddc,Dopa decarboxylase,2L,19116483,19120306,FBtr0081167,FBtr0081167,19116483,19120306,19120306,2085,9
FBgn0000426,SmF,Small ribonucleoprotein particle protein SmF,2R,12183844,12184310,FBtr0088010,FBtr0088010,12183844,12184310,12184310,467,3
FBgn0000427,dec-1,defective chorion 1,X,7867161,7873222,FBtr0071145,FBtr0071145,7867199,7873222,7873222,5696,24
FBgn0000439,Dfd,Deformed,3R,6791836,6802428,FBtr0081621,FBtr0081621,6791836,6802428,6791836,2739,3
FBgn0000442,Pkg21D,"Protein kinase, cGMP-dependent at 21D",2L,786153,790798,FBtr0078042,FBtr0078042,786153,790798,790798,2583,2
FBgn0000447,Dhod,Dihydroorotate dehydrogenase,3R,8651391,8652916,FBtr0081890,FBtr0081890,8651391,8652799,8652799,1355,6
FBgn0000448,Hr3,Hormone receptor 3,2R,10203995,10237348,FBtr0112799,FBtr0112799,10205454,10237348,10237348,4233,18
FBgn0000449,dib,disembodied,3L,4062292,4064551,FBtr0073205,FBtr0073205,4062292,4064551,4062292,1975,3
FBgn0000451,ect,ectodermal,3L,10190276,10201837,FBtr0339899,FBtr0339899,10190276,10201525,10201525,2070,15
FBgn0000454,Dip-B,Dipeptidase B,3R,13782288,13785676,FBtr0345229,FBtr0345229,13782765,13785676,13782765,1813,12
FBgn0000455,Dip-C,Dipeptidase C,3R,12411809,12413759,FBtr0082597,FBtr0082597,12411809,12413555,12413555,1747,6
FBgn0000459,disco,disconnected,X,16210598,16216750,FBtr0100384,FBtr0100384,16210774,16216746,16216746,3067,8
FBgn0000463,Dl,Delta,3R,19302731,19326217,FBtr0083740,FBtr0083740,19304463,19326217,19326217,3546,9
FBgn0000464,Lar,Leukocyte-antigen-related-like,2L,19586623,19732069,FBtr0331240,FBtr0331240,19606569,19731561,19606569,8637,21
FBgn0000473,Cyp6a2,Cytochrome P450-6a2,2R,6779749,6781491,FBtr0086133,FBtr0086133,6779749,6781491,6781491,1674,3
FBgn0000477,DNaseII,Deoxyribonuclease II,3R,18019375,18021161,FBtr0083538,FBtr0083538,18019375,18021161,18019375,1228,3
FBgn0000479,dnc,dunce,X,3176440,3343767,FBtr0070517,FBtr0070517,3291244,3339327,3291244,2841,68
FBgn0000482,dor,deep orange,X,1665052,1668451,FBtr0070269,FBtr0070269,1665052,1668451,1665052,3161,3
FBgn0000489,Pka-C3,"Protein kinase, cAMP-dependent, catalytic subunit 3",3L,15925805,15954797,FBtr0075529,FBtr0075529,15925805,15952993,15952993,2881,6
FBgn0000490,dpp,decapentaplegic,2L,2428372,2459823,FBtr0077775,FBtr0077775,2454737,2459823,2454737,3216,12
FBgn0000492,Dr,Drop,3R,29556386,29565244,FBtr0085441,FBtr0085441,29556386,29565244,29556386,2552,3
FBgn0000499,dsh,dishevelled,X,11355881,11358724,FBtr0073454,FBtr0073454,11355881,11358724,11355881,2844,4
FBgn0000500,Dsk,Drosulfakinin,3R,4189692,4190260,FBtr0078989,FBtr0078989,4189692,4190260,4190260,569,1
FBgn0000504,dsx,doublesex,3R,7924323,7967408,FBtr0330073,FBtr0330073,7924323,7962786,7962786,3621,18
FBgn0000520,dwg,deformed wings,X,2727698,2730042,FBtr0070487,FBtr0070487,2727698,2730042,2727698,2002,4
FBgn0000524,dx,deltex,X,6533999,6538575,FBtr0070914,FBtr0070914,6533999,6538575,6533999,3828,4
FBgn0000527,e,ebony,3R,21229839,21237177,FBtr0084106,FBtr0084106,21229839,21237177,21237177,3142,3
FBgn0000529,bsh,brain-specific homeobox,2L,19765776,19769067,FBtr0343855,FBtr0343855,19766285,19769067,19769067,1503,6
FBgn0000533,ea,easter,3R,15328729,15330408,FBtr0334588,FBtr0334588,15328729,15330408,15328729,1527,6
FBgn0000535,eag,ether a go-go,X,14955477,15009989,FBtr0310015,FBtr0310015,14955477,14999242,14955477,3670,28
FBgn0000536,eas,easily shocked,X,16278328,16285618,FBtr0308617,FBtr0308617,16278328,16285618,16278328,4627,32
FBgn0000541,E(bx),Enhancer of bithorax,3L,233926,246912,FBtr0332102,FBtr0332102,233926,246912,246912,9296,18
FBgn0000542,ec,echinus,X,3811698,3857621,FBtr0112801,FBtr0112801,3811698,3857621,3811698,6863,12
FBgn0000543,ecd,ecdysoneless,3L,2263581,2265857,FBtr0072903,FBtr0072903,2263581,2265857,2265857,2204,3
FBgn0000546,EcR,Ecdysone receptor,2R,6087873,6169087,FBtr0086009,FBtr0086009,6091866,6157129,6157129,3740,18
FBgn0000547,ed,echinoid,2L,4031377,4115749,FBtr0334266,FBtr0334266,4031377,4114436,4031377,5112,9
FBgn0000551,Edg78E,Ecdysone-dependent gene 78E,3L,21296763,21297803,FBtr0344634,FBtr0344634,21297184,21297803,21297803,546,6
FBgn0000552,Edg84A,Ecdysone-dependent gene 84A,3R,6684445,6685157,FBtr0081688,FBtr0081688,6684445,6685157,6684445,652,3
FBgn0000557,eEF1alpha2,eukaryotic translation elongation factor 1 alpha 2,3R,31738468,31743306,FBtr0085834,FBtr0085834,31739660,31743306,31739660,2591,8
FBgn0000559,eEF2,eukaryotic translation elongation factor 2,2L,21677913,21682164,FBtr0332966,FBtr0332966,21677913,21682116,21682116,3008,9
FBgn0000560,eg,eagle,3L,21808703,21817600,FBtr0332810,FBtr0332810,21815413,21817600,21815413,1454,9
FBgn0000562,egl,egalitarian,2R,23734904,23746829,FBtr0114586,FBtr0114586,23734904,23746829,23746829,4428,6
FBgn0000564,Eh,Eclosion hormone,3R,17446642,17448858,FBtr0083444,FBtr0083444,17446642,17448858,17448858,704,6
FBgn0000565,MsrA,Methionine sulfoxide reductase A,3L,15511052,15513202,FBtr0330176,FBtr0330176,15511889,15513202,15511889,1056,18
FBgn0000566,Eip55E,Ecdysone-induced protein 55E,2R,18627918,18629395,FBtr0086710,FBtr0086710,18627918,18629279,18627918,1362,6
FBgn0000567,Eip74EF,Ecdysone-induced protein 74EF,3L,17558672,17619325,FBtr0305796,FBtr0305796,17560158,17619325,17619325,6012,15
FBgn0000568,Eip75B,Ecdysone-induced protein 75B,3L,17950953,18064696,FBtr0075149,FBtr0075149,17952162,17999821,17999821,5769,21
FBgn0000575,emc,extra macrochaetae,3L,749400,753492,FBtr0072578,FBtr0072578,749400,753492,749400,2049,2
FBgn0000576,ems,empty spiracles,3R,13901853,13904620,FBtr0082863,FBtr0082863,13901853,13904620,13901853,2478,3
FBgn0000577,en,engrailed,2R,11524006,11528210,FBtr0088095,FBtr0088095,11524006,11528210,11528210,2792,6
FBgn0000578,ena,enabled,2R,19141632,19163705,FBtr0086583,FBtr0086583,19141632,19162598,19141632,3370,21
FBgn0000579,Eno,Enolase,2L,1724768,1729636,FBtr0077908,FBtr0077908,1724974,1728463,1728463,2198,18
FBgn0000581,E(Pc),Enhancer of Polycomb,2R,11452043,11465270,FBtr0330621,FBtr0330621,11452769,11465270,11452769,10423,15
FBgn0000588,esc,extra sexcombs,2L,11827204,11829405,FBtr0080325,FBtr0080325,11827204,11829405,11829405,1704,3
FBgn0000591,E(spl)m8-HLH,"Enhancer of split m8, helix-loop-helix",3R,26040240,26041008,FBtr0084961,FBtr0084961,26040240,26041008,26040240,769,3
FBgn0000592,Est-6,Esterase 6,3L,12188818,12190705,FBtr0333383,FBtr0333383,12188818,12190705,12188818,1837,6
FBgn0000594,Est-P,Esterase P,3L,12190733,12192528,FBtr0076004,FBtr0076004,12190733,12192528,12190733,1740,3
FBgn0000606,eve,even skipped,2R,9979319,9980795,FBtr0088390,FBtr0088390,9979319,9980795,9979319,1406,3
FBgn0000611,exd,extradenticle,X,15992468,15996509,FBtr0333323,FBtr0333323,15992936,15996509,15992936,2883,16
FBgn0000615,exu,exuperantia,2R,20667427,20671083,FBtr0086244,FBtr0086244,20667427,20670491,20670491,2621,12
FBgn0000617,e(y)1,enhancer of yellow 1,X,17842161,17843348,FBtr0074463,FBtr0074463,17842161,17843348,17842161,1124,4
FBgn0000618,e(y)2,enhancer of yellow 2,X,11576118,11576620,FBtr0073540,FBtr0073540,11576118,11576620,11576620,503,4
FBgn0000625,eyg,eyegone,3L,12462537,12468021,FBtr0075979,FBtr0075979,12462994,12468021,12468021,2691,9
FBgn0000629,E(z),Enhancer of zeste,3L,10634575,10638130,FBtr0334067,FBtr0334067,10634575,10637879,10637879,2479,9
FBgn0000633,CG17716,uncharacterized protein,2R,13623044,13749367,FBtr0339940,FBtr0339940,13623044,13749367,13623044,5879,6
FBgn0000635,Fas2,Fasciclin 2,X,4132887,4206093,FBtr0343524,FBtr0343524,4135870,4206093,4206093,3260,28
FBgn0000636,Fas3,Fasciclin 3,2L,18320102,18393441,FBtr0081051,FBtr0081051,18320102,18393441,18320102,3336,21
FBgn0000639,Fbp1,Fat body protein 1,3L,14094589,14098053,FBtr0339515,FBtr0339515,14094589,14098053,14098053,3399,9
FBgn0000640,Fbp2,Fat body protein 2,2L,9426784,9427917,FBtr0079808,FBtr0079808,9426860,9427835,9426860,916,9
FBgn0000644,Fcp3C,Follicle cell protein 3C,X,3173376,3174474,FBtr0070542,FBtr0070542,3173376,3174474,3174474,963,4
FBgn0000658,fj,four-jointed,2R,18232761,18236311,FBtr0086754,FBtr0086754,18232761,18236311,18232761,3551,3
FBgn0000659,fkh,fork head,3R,28580976,28585264,FBtr0330333,FBtr0330333,28581083,28585112,28585112,4030,15
FBgn0000662,fl(2)d,female lethal d,2R,13819624,13824553,FBtr0304697,FBtr0304697,13819624,13824553,13824553,2485,12
FBgn0000667,Actn,alpha actinin,X,2023822,2042311,FBtr0310657,FBtr0310657,2024756,2042311,2042311,3877,27
FBgn0000709,fliI,flightless I,X,21339741,21345088,FBtr0077192,FBtr0077192,21339741,21345088,21339741,4827,4
FBgn0000711,flw,flapwing,X,10385960,10409817,FBtr0071447,FBtr0071447,10385960,10408065,10385960,2131,16
FBgn0000715,FMRFa,FMRFamide,2R,9906294,9910457,FBtr0088383,FBtr0088383,9906294,9910457,9906294,1427,3
FBgn0000719,fog,folded gastrulation,X,22824317,22855194,FBtr0333182,FBtr0333182,22824317,22855194,22855194,5256,6
FBgn0000721,for,foraging,2L,3622074,3656953,FBtr0089310,FBtr0089310,3622074,3646138,3646138,4316,39
